day,segment,stock_id,symbol,company,sector,segment_open,segment_high,segment_low,segment_close,change_pct,volume,prev_segment_volume,vol_change_pct,vol_change_flag,flag,short_note_concise,expected_movement,mini_history
1,M,1,HDFCBANK,HDFC Bank,Banking,297.37,299.48,295.43,299.27,0.64,66640,67804,-1.72,VOL_STABLE,NORMAL,HDFCBANK: seg move 0.64%,Follow-through,"0.0%|66640,0.64%|66640"
1,M,2,ICICIBANK,ICICI Bank,Banking,176.74,177.34,176.24,177.22,0.27,104181,102772,1.37,VOL_STABLE,NORMAL,ICICIBANK: seg move 0.27%,Follow-through,"0.0%|104181,0.27%|104181"
1,M,3,SBIN,SBI,Banking,272.31,274.33,271.44,274.02,0.63,123942,124525,-0.47,VOL_STABLE,NORMAL,SBIN: seg move 0.63%,Follow-through,"0.0%|123942,0.63%|123942"
1,M,4,RELIANCE,Reliance,Energy,186.28,189.81,182.54,183.58,-1.45,12454,13238,-5.92,VOL_DOWN,NORMAL,RELIANCE: seg move -1.45%,Downside,"0.0%|12454,-1.45%|12454"
1,M,5,TCS,TCS,IT,195.09,197.3,191.4,196.09,0.51,178448,179615,-0.65,VOL_STABLE,NORMAL,TCS: seg move 0.51%,Follow-through,"0.0%|178448,0.51%|178448"
1,M,6,INFY,Infosys,IT,535.9,538.29,533.36,534.22,-0.31,23457,23655,-0.84,VOL_STABLE,NORMAL,INFY: seg move -0.31%,Downside,"0.0%|23457,-0.31%|23457"
1,M,7,WIPRO,Wipro,IT,642.64,645.49,641.5,645.08,0.38,45929,44026,4.32,VOL_STABLE,NORMAL,WIPRO: seg move 0.38%,Follow-through,"0.0%|45929,0.38%|45929"
1,M,8,HINDUNILVR,HUL,FMCG,35.64,38.27,33.89,35.18,-1.29,126253,125802,0.36,VOL_STABLE,NORMAL,HINDUNILVR: seg move -1.29%,Downside,"0.0%|126253,-1.29%|126253"
1,M,9,ITC,ITC,FMCG,782.29,782.73,780.38,780.57,-0.22,100477,99939,0.54,VOL_STABLE,NORMAL,ITC: seg move -0.22%,Downside,"0.0%|100477,-0.22%|100477"
1,M,10,TATAMOTORS,Tata Motors,Auto,597.88,600.54,595.97,597.22,-0.11,62942,63856,-1.43,VOL_STABLE,NORMAL,TATAMOTORS: seg move -0.11%,Downside,"0.0%|62942,-0.11%|62942"
1,M,11,MARUTI,Maruti Suzuki,Auto,523.26,525.19,521.65,522.45,-0.15,164968,166077,-0.67,VOL_STABLE,NORMAL,MARUTI: seg move -0.15%,Downside,"0.0%|164968,-0.15%|164968"
1,M,12,BAJAJFINSV,Bajaj Finserv,Financial Services,139.01,139.49,139.0,139.19,0.13,102468,101902,0.56,VOL_STABLE,NORMAL,BAJAJFINSV: seg move 0.13%,Follow-through,"0.0%|102468,0.13%|102468"
1,M,13,HDFCLIFE,HDFC Life,Insurance,404.48,407.49,402.62,407.46,0.74,31225,30444,2.57,VOL_STABLE,NORMAL,HDFCLIFE: seg move 0.74%,Follow-through,"0.0%|31225,0.74%|31225"
1,M,14,SUNPHARMA,Sun Pharma,Pharma,148.98,149.22,148.47,148.96,-0.01,107605,108135,-0.49,VOL_STABLE,NORMAL,SUNPHARMA: seg move -0.01%,Downside,"0.0%|107605,-0.01%|107605"
1,M,15,CIPLA,Cipla,Pharma,657.75,658.68,655.97,657.05,-0.11,78356,79688,-1.67,VOL_STABLE,NORMAL,CIPLA: seg move -0.11%,Downside,"0.0%|78356,-0.11%|78356"
1,D,1,HDFCBANK,HDFC Bank,Banking,296.99,300.84,294.84,295.32,-0.56,13282,12284,8.12,VOL_UP,NORMAL,HDFCBANK: seg move -0.56%,Downside,"0.0%|13282,-0.56%|13282"
1,D,2,ICICIBANK,ICICI Bank,Banking,178.92,181.28,175.76,177.42,-0.84,66277,67046,-1.15,VOL_STABLE,NORMAL,ICICIBANK: seg move -0.84%,Downside,"0.0%|66277,-0.84%|66277"
1,D,3,SBIN,SBI,Banking,275.61,277.12,275.22,276.85,0.45,164811,166152,-0.81,VOL_STABLE,NORMAL,SBIN: seg move 0.45%,Follow-through,"0.0%|164811,0.45%|164811"
1,D,4,RELIANCE,Reliance,Energy,181.94,183.64,178.63,182.61,0.37,184075,182997,0.59,VOL_STABLE,NORMAL,RELIANCE: seg move 0.37%,Follow-through,"0.0%|184075,0.37%|184075"
1,D,5,TCS,TCS,IT,194.36,195.45,191.14,194.0,-0.19,77872,76141,2.27,VOL_STABLE,NORMAL,TCS: seg move -0.19%,Downside,"0.0%|77872,-0.19%|77872"
1,D,6,INFY,Infosys,IT,534.3,537.16,533.18,537.15,0.53,164452,164614,-0.1,VOL_STABLE,NORMAL,INFY: seg move 0.53%,Follow-through,"0.0%|164452,0.53%|164452"
1,D,7,WIPRO,Wipro,IT,644.62,648.21,642.42,647.42,0.43,43562,45486,-4.23,VOL_STABLE,NORMAL,WIPRO: seg move 0.43%,Follow-through,"0.0%|43562,0.43%|43562"
1,D,8,HINDUNILVR,HUL,FMCG,35.4,37.7,34.71,36.26,2.43,36288,34417,5.44,VOL_UP,NORMAL,HINDUNILVR: seg move 2.43%,Follow-through,"0.0%|36288,2.43%|36288"
1,D,9,ITC,ITC,FMCG,778.39,780.36,774.5,777.07,-0.17,24751,26704,-7.31,VOL_DOWN,NORMAL,ITC: seg move -0.17%,Downside,"0.0%|24751,-0.17%|24751"
1,D,10,TATAMOTORS,Tata Motors,Auto,598.93,600.6,596.2,600.54,0.27,137484,138786,-0.94,VOL_STABLE,NORMAL,TATAMOTORS: seg move 0.27%,Follow-through,"0.0%|137484,0.27%|137484"
1,D,11,MARUTI,Maruti Suzuki,Auto,523.87,524.57,521.95,524.49,0.12,155543,154864,0.44,VOL_STABLE,NORMAL,MARUTI: seg move 0.12%,Follow-through,"0.0%|155543,0.12%|155543"
1,D,12,BAJAJFINSV,Bajaj Finserv,Financial Services,141.15,143.59,138.54,142.25,0.78,161964,161101,0.54,VOL_STABLE,NORMAL,BAJAJFINSV: seg move 0.78%,Follow-through,"0.0%|161964,0.78%|161964"
1,D,13,HDFCLIFE,HDFC Life,Insurance,408.85,410.18,405.29,409.32,0.11,26297,26678,-1.43,VOL_STABLE,NORMAL,HDFCLIFE: seg move 0.11%,Follow-through,"0.0%|26297,0.11%|26297"
1,D,14,SUNPHARMA,Sun Pharma,Pharma,151.5,153.3,150.39,152.5,0.66,74087,75255,-1.55,VOL_STABLE,NORMAL,SUNPHARMA: seg move 0.66%,Follow-through,"0.0%|74087,0.66%|74087"
1,D,15,CIPLA,Cipla,Pharma,658.21,661.14,655.94,657.57,-0.1,35266,36134,-2.4,VOL_STABLE,NORMAL,CIPLA: seg move -0.10%,Downside,"0.0%|35266,-0.1%|35266"
1,C,1,HDFCBANK,HDFC Bank,Banking,296.5,296.75,293.66,294.57,-0.65,164788,164360,0.26,VOL_STABLE,NORMAL,HDFCBANK: seg move -0.65%,Downside,"0.0%|164788,-0.65%|164788"
